Setting,App,Model,Embedding,Classifier,Accuracy,Precision,Recall,F1_0,F1_1
LOT,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Dummy,0.6237328562909958,0.718592195868401,0.7811044577511643,0.2529007814349988,0.748545469036423
LOT,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Threshold,0.2217054263565891,1.0,0.2217054263565891,0.3629441624365482,0.3629441624365482
LOT,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Nearest Neighbors,0.8338700059630292,0.8123056118999323,0.9991683300066534,0.5857865001486768,0.8960990527336465
LOT,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,SVM RBF,0.8347048300536672,0.8195634153080962,0.9866932801064536,0.60625,0.8953962264150944
LOT,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Decision Tree,0.830530709600477,0.8121855025159799,0.9933466400532268,0.5826725403817915,0.8936775158997382
LOT,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Gaussian Naive Bayes,0.9032796660703636,0.8836111520873285,0.9963406520292748,0.796179944709726,0.9365960440935032
LOT,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Random Forest,0.8288610614192009,0.8103892581038926,0.9938456420492348,0.5760709010339735,0.8927904370564065
LOT,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Ensemble,0.8480620155038759,0.8255909840571742,0.9991683300066534,0.6341183228029869,0.9041240216736904
LOT,addressbook,DS_content_tags_modelsize100epoch31,Content and tags,Neural Network,0.8432915921288014,0.8207263790278536,0.9998336660013308,0.6173558532323821,0.9014697060587884
LOT,addressbook,DS_all_modelsize100epoch31,Ensemble,Dummy,0.6215861657722123,0.7172149961744453,0.7796074517631404,0.2486384087141842,0.747110863154539
LOT,addressbook,DS_all_modelsize100epoch31,Ensemble,Threshold,0.2450805008944543,1.0,0.2450805008944543,0.3936781609195402,0.3936781609195402
LOT,addressbook,DS_all_modelsize100epoch31,Ensemble,Nearest Neighbors,0.8523553965414431,0.8296050814692074,0.9993346640053228,0.6478953356086462,0.9065942357024296
LOT,addressbook,DS_all_modelsize100epoch31,Ensemble,SVM RBF,0.8653548002385212,0.8425705065244844,0.9988356620093148,0.6890663729000277,0.9140726082654692
LOT,addressbook,DS_all_modelsize100epoch31,Ensemble,Decision Tree,0.8523553965414431,0.8319888734353268,0.99500998003992,0.6530269058295965,0.9062263293440388
LOT,addressbook,DS_all_modelsize100epoch31,Ensemble,Gaussian Naive Bayes,0.8964818127608826,0.8753648569760654,0.9976713240186296,0.7777777777777778,0.9325248756218906
LOT,addressbook,DS_all_modelsize100epoch31,Ensemble,Random Forest,0.8509242695289206,0.8306026103860039,0.99500998003992,0.6484814398200225,0.90540336007265
LOT,addressbook,DS_all_modelsize100epoch31,Ensemble,Ensemble,0.863804412641622,0.8409409129095492,0.999001996007984,0.6841814159292037,0.9131823019613806
LOT,addressbook,DS_all_modelsize100epoch31,Ensemble,Neural Network,0.851520572450805,0.8285320468642315,0.9998336660013308,0.6445903511276049,0.9061581367302328
