Setting,App,Feature,Classifier,Precision,Recall,F1
across-apps,addressbook,doc2vec-distance-all,trained_classifiers/across-apps-addressbook-svm-rbf-doc2vec-distance-all.sav,0.8940342094284522,0.945302161446846,0.9189536878216124
across-apps,addressbook,DOM-RTED,trained_classifiers/across-apps-addressbook-svm-rbf-dom-rted.sav,0.6846057571964956,0.7238641376268196,0.70368782161235
across-apps,addressbook,VISUAL-PDiff,trained_classifiers/across-apps-addressbook-svm-rbf-visual-pdiff.sav,0.0,0.0,0.0
across-apps,claroline,doc2vec-distance-all,trained_classifiers/across-apps-claroline-svm-rbf-doc2vec-distance-all.sav,0.9328358208955224,1.0,0.9652509652509652
across-apps,claroline,DOM-RTED,trained_classifiers/across-apps-claroline-svm-rbf-dom-rted.sav,0.9328358208955224,1.0,0.9652509652509652
across-apps,claroline,VISUAL-PDiff,trained_classifiers/across-apps-claroline-svm-rbf-visual-pdiff.sav,0.9321250888415068,0.9992380952380951,0.9645155359441074
across-apps,dimeshift,doc2vec-distance-all,trained_classifiers/across-apps-dimeshift-svm-rbf-doc2vec-distance-all.sav,0.0041407867494824,0.004920049200492,0.0044969083754918
across-apps,dimeshift,DOM-RTED,trained_classifiers/across-apps-dimeshift-svm-rbf-dom-rted.sav,0.8115942028985508,0.964329643296433,0.8813940415964024
across-apps,dimeshift,VISUAL-PDiff,trained_classifiers/across-apps-dimeshift-svm-rbf-visual-pdiff.sav,0.5600414078674948,0.6654366543665436,0.6082068577852726
across-apps,mantisbt,doc2vec-distance-all,trained_classifiers/across-apps-mantisbt-svm-rbf-doc2vec-distance-all.sav,0.0,0.0,0.0
across-apps,mantisbt,DOM-RTED,trained_classifiers/across-apps-mantisbt-svm-rbf-dom-rted.sav,0.5844709897610921,0.6709108716944172,0.6247150022799817
across-apps,mantisbt,VISUAL-PDiff,trained_classifiers/across-apps-mantisbt-svm-rbf-visual-pdiff.sav,0.7517064846416383,0.8628795298726738,0.8034655722754218
across-apps,mrbs,doc2vec-distance-all,trained_classifiers/across-apps-mrbs-svm-rbf-doc2vec-distance-all.sav,0.8572827417380661,0.8901881037112354,0.8734256141663548
across-apps,mrbs,DOM-RTED,trained_classifiers/across-apps-mrbs-svm-rbf-dom-rted.sav,0.9201958384332926,0.9555160142348754,0.9375233819678264
across-apps,mrbs,VISUAL-PDiff,trained_classifiers/across-apps-mrbs-svm-rbf-visual-pdiff.sav,0.5610771113831089,0.5826131164209456,0.571642349420127
across-apps,pagekit,doc2vec-distance-all,trained_classifiers/across-apps-pagekit-svm-rbf-doc2vec-distance-all.sav,0.562897366030881,0.5813789868667918,0.571988924780803
across-apps,pagekit,DOM-RTED,trained_classifiers/across-apps-pagekit-svm-rbf-dom-rted.sav,0.205495004541326,0.2122420262664165,0.2088140286109829
across-apps,pagekit,VISUAL-PDiff,trained_classifiers/across-apps-pagekit-svm-rbf-visual-pdiff.sav,0.2073115349682107,0.2141181988742964,0.2106598984771573
across-apps,petclinic,doc2vec-distance-all,trained_classifiers/across-apps-petclinic-svm-rbf-doc2vec-distance-all.sav,0.7170042971147943,0.7891891891891892,0.7513669990350595
across-apps,petclinic,DOM-RTED,trained_classifiers/across-apps-petclinic-svm-rbf-dom-rted.sav,0.6961325966850829,0.7662162162162162,0.7294950144741074
across-apps,petclinic,VISUAL-PDiff,trained_classifiers/across-apps-petclinic-svm-rbf-visual-pdiff.sav,0.52731737262124,0.5804054054054054,0.5525892569958185
across-apps,phoenix,doc2vec-distance-all,trained_classifiers/across-apps-phoenix-svm-rbf-doc2vec-distance-all.sav,0.71078856152513,0.7346618898343036,0.7225280775159657
across-apps,phoenix,DOM-RTED,trained_classifiers/across-apps-phoenix-svm-rbf-dom-rted.sav,0.4516897746967071,0.4668607254814151,0.4591499669676283
across-apps,phoenix,VISUAL-PDiff,trained_classifiers/across-apps-phoenix-svm-rbf-visual-pdiff.sav,0.3325389948006932,0.3437080161218092,0.3380312706452323
across-apps,ppma,doc2vec-distance-all,trained_classifiers/across-apps-ppma-svm-rbf-doc2vec-distance-all.sav,0.0,0.0,0.0
across-apps,ppma,DOM-RTED,trained_classifiers/across-apps-ppma-svm-rbf-dom-rted.sav,0.0,0.0,0.0
across-apps,ppma,VISUAL-PDiff,trained_classifiers/across-apps-ppma-svm-rbf-visual-pdiff.sav,0.8212996389891697,1.0,0.9018830525272546
across-apps,dimeshift,doc2vec-distance-content,trained_classifiers/across-apps-dimeshift-svm-rbf-doc2vec-distance-content-tags.sav,0.0,0.0,0.0
