Setting,App,Feature,Classifier,Precision,Recall,F1
across-apps,addressbook,doc2vec-distance-all,trained_classifiers/within-apps-addressbook-svm-rbf-doc2vec-distance-all.sav,0.8944513975803087,0.9457432730480811,0.9193825042881646
across-apps,addressbook,DOM-RTED,trained_classifiers/within-apps-addressbook-svm-rbf-dom-rted.sav,0.685857321652065,0.725187472430525,0.7049742710120069
across-apps,addressbook,VISUAL-PDiff,trained_classifiers/within-apps-addressbook-svm-rbf-visual-pdiff.sav,0.0,0.0,0.0
across-apps,claroline,doc2vec-distance-all,trained_classifiers/within-apps-claroline-svm-rbf-doc2vec-distance-all.sav,0.9328358208955224,1.0,0.9652509652509652
across-apps,claroline,DOM-RTED,trained_classifiers/within-apps-claroline-svm-rbf-dom-rted.sav,0.9328358208955224,1.0,0.9652509652509652
across-apps,claroline,VISUAL-PDiff,trained_classifiers/within-apps-claroline-svm-rbf-visual-pdiff.sav,0.9321250888415068,0.9992380952380951,0.9645155359441074
across-apps,dimeshift,doc2vec-distance-all,trained_classifiers/within-apps-dimeshift-svm-rbf-doc2vec-distance-all.sav,0.0,0.0,0.0
across-apps,dimeshift,DOM-RTED,trained_classifiers/within-apps-dimeshift-svm-rbf-dom-rted.sav,0.8115942028985508,0.964329643296433,0.8813940415964024
across-apps,dimeshift,VISUAL-PDiff,trained_classifiers/within-apps-dimeshift-svm-rbf-visual-pdiff.sav,0.5600414078674948,0.6654366543665436,0.6082068577852726
across-apps,mantisbt,doc2vec-distance-all,trained_classifiers/within-apps-mantisbt-svm-rbf-doc2vec-distance-all.sav,0.0,0.0,0.0
across-apps,mantisbt,DOM-RTED,trained_classifiers/within-apps-mantisbt-svm-rbf-dom-rted.sav,0.5844709897610921,0.6709108716944172,0.6247150022799817
across-apps,mantisbt,VISUAL-PDiff,trained_classifiers/within-apps-mantisbt-svm-rbf-visual-pdiff.sav,0.7517064846416383,0.8628795298726738,0.8034655722754218
across-apps,mrbs,doc2vec-distance-all,trained_classifiers/within-apps-mrbs-svm-rbf-doc2vec-distance-all.sav,0.8538555691554468,0.8866293848500254,0.8699339069709441
