,Unnamed: 0,appname,crawl,state1,state2,DOM_RTED,DOM_Levenshtein,DOM_contentHash,DOM_SIMHASH,VISUAL_BlockHash,VISUAL_PHash,VISUAL_Hyst,VISUAL_PDiff,VISUAL_SIFT,VISUAL_SSIM,HUMAN_CLASSIFICATION,TAGS,state1_content,state1_tags,state1_content_tags,state2_content,state2_tags,state2_content_tags,answer,doc2vec_distance_content,doc2vec_distance_tags,doc2vec_distance_content_tags,doc2vec_distance_all
0,0,byggeweb.dk,crawl0,state25,state33,0.001152074,0.004299338,20,0,0,0,0.0,0.0,98.11,1.0,0,,"{""file_name"": ""state25.html.content"", ""state_name"": ""state25"", ""app_name"": ""byggeweb.dk"", ""path"": ""byggeweb.dk\\state25.html.content""}","{""file_name"": ""state25.html.tags"", ""state_name"": ""state25"", ""app_name"": ""byggeweb.dk"", ""path"": ""byggeweb.dk\\state25.html.tags""}","{""file_name"": ""state25.html.content_tags"", ""state_name"": ""state25"", ""app_name"": ""byggeweb.dk"", ""path"": ""byggeweb.dk\\state25.html.content_tags""}","{""file_name"": ""state33.html.content"", ""state_name"": ""state33"", ""app_name"": ""byggeweb.dk"", ""path"": ""byggeweb.dk\\state33.html.content""}","{""file_name"": ""state33.html.tags"", ""state_name"": ""state33"", ""app_name"": ""byggeweb.dk"", ""path"": ""byggeweb.dk\\state33.html.tags""}","{""file_name"": ""state33.html.content_tags"", ""state_name"": ""state33"", ""app_name"": ""byggeweb.dk"", ""path"": ""byggeweb.dk\\state33.html.content_tags""}",1,0.9930492,0.9739126,0.9948561,0.9823102
1,1,sidomi.com,crawl0,state10,state16,0.0,0.004801483,3,0,2,0,467851.5,0.01079889,93.8,0.98,0,,"{""file_name"": ""state10.html.content"", ""state_name"": ""state10"", ""app_name"": ""sidomi.com"", ""path"": ""sidomi.com\\state10.html.content""}","{""file_name"": ""state10.html.tags"", ""state_name"": ""state10"", ""app_name"": ""sidomi.com"", ""path"": ""sidomi.com\\state10.html.tags""}","{""file_name"": ""state10.html.content_tags"", ""state_name"": ""state10"", ""app_name"": ""sidomi.com"", ""path"": ""sidomi.com\\state10.html.content_tags""}","{""file_name"": ""state16.html.content"", ""state_name"": ""state16"", ""app_name"": ""sidomi.com"", ""path"": ""sidomi.com\\state16.html.content""}","{""file_name"": ""state16.html.tags"", ""state_name"": ""state16"", ""app_name"": ""sidomi.com"", ""path"": ""sidomi.com\\state16.html.tags""}","{""file_name"": ""state16.html.content_tags"", ""state_name"": ""state16"", ""app_name"": ""sidomi.com"", ""path"": ""sidomi.com\\state16.html.content_tags""}",1,0.99269456,0.98737943,0.9943312,0.9895337
2,2,soycuervo.com,crawl0,state7,state25,0.0,0.000138988,0,0,0,0,0.0,0.0,99.75,1.0,0,,"{""file_name"": ""state7.html.content"", ""state_name"": ""state7"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state7.html.content""}","{""file_name"": ""state7.html.tags"", ""state_name"": ""state7"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state7.html.tags""}","{""file_name"": ""state7.html.content_tags"", ""state_name"": ""state7"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state7.html.content_tags""}","{""file_name"": ""state25.html.content"", ""state_name"": ""state25"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state25.html.content""}","{""file_name"": ""state25.html.tags"", ""state_name"": ""state25"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state25.html.tags""}","{""file_name"": ""state25.html.content_tags"", ""state_name"": ""state25"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state25.html.content_tags""}",1,0.9767752,0.99171555,0.9947642,0.98799497
3,3,soycuervo.com,crawl0,state29,state46,0.000980392,0.00014886,1,0,0,0,0.0,0.0,99.75,1.0,0,,"{""file_name"": ""state29.html.content"", ""state_name"": ""state29"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state29.html.content""}","{""file_name"": ""state29.html.tags"", ""state_name"": ""state29"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state29.html.tags""}","{""file_name"": ""state29.html.content_tags"", ""state_name"": ""state29"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state29.html.content_tags""}","{""file_name"": ""state46.html.content"", ""state_name"": ""state46"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state46.html.content""}","{""file_name"": ""state46.html.tags"", ""state_name"": ""state46"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state46.html.tags""}","{""file_name"": ""state46.html.content_tags"", ""state_name"": ""state46"", ""app_name"": ""soycuervo.com"", ""path"": ""soycuervo.com\\state46.html.content_tags""}",1,0.98081094,0.9710682,0.9925909,0.9733408
4,4,anadune.com,crawl0,state10,state59,0.631868132,0.460952257,273,19,27,9,8513676.017,0.315514046,30.44434159,0.525042112,2,,"{""file_name"": ""state10.html.content"", ""state_name"": ""state10"", ""app_name"": ""anadune.com"", ""path"": ""anadune.com\\state10.html.content""}","{""file_name"": ""state10.html.tags"", ""state_name"": ""state10"", ""app_name"": ""anadune.com"", ""path"": ""anadune.com\\state10.html.tags""}","{""file_name"": ""state10.html.content_tags"", ""state_name"": ""state10"", ""app_name"": ""anadune.com"", ""path"": ""anadune.com\\state10.html.content_tags""}","{""file_name"": ""state59.html.content"", ""state_name"": ""state59"", ""app_name"": ""anadune.com"", ""path"": ""anadune.com\\state59.html.content""}","{""file_name"": ""state59.html.tags"", ""state_name"": ""state59"", ""app_name"": ""anadune.com"", ""path"": ""anadune.com\\state59.html.tags""}","{""file_name"": ""state59.html.content_tags"", ""state_name"": ""state59"", ""app_name"": ""anadune.com"", ""path"": ""anadune.com\\state59.html.content_tags""}",0,0.43110338,0.37092522,0.47703996,0.40202025
5,5,blogsky.com,crawl0,state3,state38,0.747813411,0.416063045,357,22,62,10,12135433568.0,0.74189839,27.80612245,0.747565882,2,"different functionality ,different pages","{""file_name"": ""state3.html.content"", ""state_name"": ""state3"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state3.html.content""}","{""file_name"": ""state3.html.tags"", ""state_name"": ""state3"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state3.html.tags""}","{""file_name"": ""state3.html.content_tags"", ""state_name"": ""state3"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state3.html.content_tags""}","{""file_name"": ""state38.html.content"", ""state_name"": ""state38"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state38.html.content""}","{""file_name"": ""state38.html.tags"", ""state_name"": ""state38"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state38.html.tags""}","{""file_name"": ""state38.html.content_tags"", ""state_name"": ""state38"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state38.html.content_tags""}",0,0.6884872,0.48237136,0.6068317,0.54091036
6,6,blogsky.com,crawl0,state6,state37,0.182291667,0.207487428,101,19,33,14,2327399.576,0.445977521,22.73738872,0.770995222,2," ,different pages","{""file_name"": ""state6.html.content"", ""state_name"": ""state6"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state6.html.content""}","{""file_name"": ""state6.html.tags"", ""state_name"": ""state6"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state6.html.tags""}","{""file_name"": ""state6.html.content_tags"", ""state_name"": ""state6"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state6.html.content_tags""}","{""file_name"": ""state37.html.content"", ""state_name"": ""state37"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state37.html.content""}","{""file_name"": ""state37.html.tags"", ""state_name"": ""state37"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state37.html.tags""}","{""file_name"": ""state37.html.content_tags"", ""state_name"": ""state37"", ""app_name"": ""blogsky.com"", ""path"": ""blogsky.com\\state37.html.content_tags""}",0,0.73285365,0.7415392,0.5959653,0.6353042
7,7,virusresearch.org,crawl0,state3,state20,0.0,0.004594834,4,0,5,7,15401410.23,0.026367348,76.42,0.94,1," ,advertisements","{""file_name"": ""state3.html.content"", ""state_name"": ""state3"", ""app_name"": ""virusresearch.org"", ""path"": ""virusresearch.org\\state3.html.content""}","{""file_name"": ""state3.html.tags"", ""state_name"": ""state3"", ""app_name"": ""virusresearch.org"", ""path"": ""virusresearch.org\\state3.html.tags""}","{""file_name"": ""state3.html.content_tags"", ""state_name"": ""state3"", ""app_name"": ""virusresearch.org"", ""path"": ""virusresearch.org\\state3.html.content_tags""}","{""file_name"": ""state20.html.content"", ""state_name"": ""state20"", ""app_name"": ""virusresearch.org"", ""path"": ""virusresearch.org\\state20.html.content""}","{""file_name"": ""state20.html.tags"", ""state_name"": ""state20"", ""app_name"": ""virusresearch.org"", ""path"": ""virusresearch.org\\state20.html.tags""}","{""file_name"": ""state20.html.content_tags"", ""state_name"": ""state20"", ""app_name"": ""virusresearch.org"", ""path"": ""virusresearch.org\\state20.html.content_tags""}",1,0.99742883,0.7777005,0.99782646,0.8931299
8,8,tissin.com,crawl0,state2,state15,0.001636661,0.006662489,7,0,0,0,0.0,0.0,98.79,1.0,0,,"{""file_name"": ""state2.html.content"", ""state_name"": ""state2"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state2.html.content""}","{""file_name"": ""state2.html.tags"", ""state_name"": ""state2"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state2.html.tags""}","{""file_name"": ""state2.html.content_tags"", ""state_name"": ""state2"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state2.html.content_tags""}","{""file_name"": ""state15.html.content"", ""state_name"": ""state15"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state15.html.content""}","{""file_name"": ""state15.html.tags"", ""state_name"": ""state15"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state15.html.tags""}","{""file_name"": ""state15.html.content_tags"", ""state_name"": ""state15"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state15.html.content_tags""}",1,0.9927324,0.98922974,0.9905565,0.99054456
9,9,tissin.com,crawl0,state7,state26,0.0,0.003641419,5,0,0,0,0.0,0.0,98.79,1.0,0,,"{""file_name"": ""state7.html.content"", ""state_name"": ""state7"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state7.html.content""}","{""file_name"": ""state7.html.tags"", ""state_name"": ""state7"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state7.html.tags""}","{""file_name"": ""state7.html.content_tags"", ""state_name"": ""state7"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state7.html.content_tags""}","{""file_name"": ""state26.html.content"", ""state_name"": ""state26"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state26.html.content""}","{""file_name"": ""state26.html.tags"", ""state_name"": ""state26"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state26.html.tags""}","{""file_name"": ""state26.html.content_tags"", ""state_name"": ""state26"", ""app_name"": ""tissin.com"", ""path"": ""tissin.com\\state26.html.content_tags""}",1,0.99218816,0.9829425,0.99310446,0.9873607
